"Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
2009,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","West Equatoria","Yambio",4.57,28.41,636020,20090506,87.8,"ARUA",30.91,3.04,"H"
2009,"Violence against civilians","Civilians (Sudan)","Dodoth Ethnic Militia (Uganda)","Sudan","East Equatoria","East Equatoria",4.41,32.56,636300,20091021,87.8,"GULU",32.33,2.75,"M"
2009,"Violence against civilians","Karamajong Ethnic Group","Civilians (Sudan)","Sudan","Equatoria","Nagishot",4.27,33.55,636300,20091021,87.8,"GULU",32.33,2.75,"M"
2009,"Battles","Police Forces of Southern Sudan","LRA: Lord's Resistance Army","Sudan","Bahr el Ghazal","Raga",8.46,25.68,646610,20091024,87.8,"YALINGA",23.26,6.5,"M"
2009,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","LRA: Lord's Resistance Army","Sudan","Bahr el Ghazal","Raga",8.46,25.68,646610,20091024,87.8,"YALINGA",23.26,6.5,"M"
2009,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","Bahr el Ghazal","Raga",8.46,25.68,646610,20091024,87.8,"YALINGA",23.26,6.5,"M"
2010,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Red Sea","Port Sudan",19.1,37.31,626410,20100119,87.8,"PORT SUDAN",37.21,19.58,"M"
2010,"Battles","LRA: Lord's Resistance Army","Arrow Boys","Sudan","West Equatoria","Yambio",4.57,28.41,636020,20100330,87.8,"ARUA",30.91,3.04,"H"
2010,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","West Equatoria","Yambio",4.57,28.41,636020,20100330,87.8,"ARUA",30.91,3.04,"H"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","West Equatoria","Yambio",4.57,28.41,646590,19970124,88,"OBO",26.5,5.4,"M"
2004,"Battles","SLM/A: Sudan Liberation Movement/Army","Military Forces of Sudan (1989-)","Sudan","Northern Darfur","Tinah",13.46,24.76,627900,20040115,88,"NYALA",24.88,12.05,"M"
2004,"Battles","SLM/A: Sudan Liberation Movement/Army","Military Forces of Sudan (1989-)","Sudan","Northern Darfur","Tinah",13.46,24.76,627900,20040115,88,"NYALA",24.88,12.05,"M"
1998,"Battles","SSDF: South Sudan Defense Forces","Matiep Militia","Sudan","Bahr el Ghazal","Akon",7.4,29.06,646590,19980705,88.19,"OBO",26.5,5.4,"M"
1998,"Battles","SSDF: South Sudan Defense Forces","Matiep Militia","Sudan","Southern Kordofan","Kaduqli",11.01,29.71,628100,19980716,88.19,"KADOGLLI",29.71,11,"C"
1998,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Western Upper Nile","Ler",8.3,30.13,628100,19980716,88.19,"KADOGLLI",29.71,11,"C"
1998,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","South Kordofan","Nuba Mountains",12,30.75,627710,19981212,88.19,"EL OBEID",30.23,13.16,"M"
2004,"Battles","SLM/A: Sudan Liberation Movement/Army","Military Forces of Sudan (1989-)","Sudan","Northern Darfur","Tinah",13.46,24.76,627900,20040117,88.19,"NYALA",24.88,12.05,"M"
2005,"Battles","SLM/A: Sudan Liberation Movement/Army","African Union Forces (2002-)","Sudan","North Darfur","North Darfur",16,26,627600,20051117,88.19,"EL FASHER",25.33,13.61,"M"
2006,"Battles","Military Forces of Chad (1991-)","Military Forces of Sudan (1989-)","Sudan","Northern Darfur","El Geneina",13.44,22.45,627700,20060130,88.19,"GENINA",22.45,13.48,"M"
2006,"Battles","NMRD: National Movement for Reform and Development","Military Forces of Sudan (1989-)","Sudan","West Darfur","West Darfur",12.88,22.96,627700,20060130,88.19,"GENINA",22.45,13.48,"M"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Khartoum","Khartoum",15.54,32.53,627210,19980101,88.3,"KHARTOUM",32.54,15.6,"C"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","East Equatoria","Juba",4.84,31.61,636020,19980325,88.3,"ARUA",30.91,3.04,"H"
2002,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Equatoria","Kochol",4.4,33.51,636300,20020416,88.3,"GULU",32.33,2.75,"M"
2008,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","South Darfur","Sheiria (Shu'ayriyah)",12.38,25.61,627900,20080117,88.3,"NYALA",24.88,12.05,"M"
2009,"Battles","Arrow Boys Militia (Sudan)","LRA: Lord's Resistance Army","Sudan","West Equatoria","Yambio",4.57,28.41,636020,20090327,88.3,"ARUA",30.91,3.04,"H"
1999,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Wau",7.69,28,646590,19990427,88.5,"OBO",26.5,5.4,"M"
1999,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Wau",7.69,28,646590,19990427,88.5,"OBO",26.5,5.4,"M"
1999,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Wau",7.69,28,646590,19990427,88.5,"OBO",26.5,5.4,"M"
1999,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","West Bahr Al-Ghazal","Tonj",7.27,28.68,646590,19990507,88.5,"OBO",26.5,5.4,"M"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,20000713,88.5,"OBO",26.5,5.4,"M"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Murahaleen Arab Militia (Sudan)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,20000713,88.5,"OBO",26.5,5.4,"M"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Murahaleen Arab Militia (Sudan)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,20000713,88.5,"OBO",26.5,5.4,"M"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Murahaleen Arab Militia (Sudan)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,20000713,88.5,"OBO",26.5,5.4,"M"
2000,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Bahr el Ghazal","Wau",7.69,28,646590,20000713,88.5,"OBO",26.5,5.4,"M"
2009,"Battles","Unidentified Armed Group (Sudan)","UNAMID: African Union-United Nations Hybrid Operation in Darfur","Sudan","South Darfur","Nyala",12.05,24.88,627900,20090120,88.5,"NYALA",24.88,12.05,"M"
2009,"Battles","Unidentified Armed Group (Sudan)","UNAMID: United Nations Mission In Darfur","Sudan","Darfur","Zalingei",12.89,23.48,627700,20090828,88.5,"GENINA",22.45,13.48,"M"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Southern Kordofan","Mandi region",11.37,30.15,628030,19981005,88.69,"RASHAD",31.04,11.86,"M"
1999,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","East Equatoria","Yei",4.09,30.67,636020,19990125,88.69,"ARUA",30.91,3.04,"H"
1999,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","East Equatoria","Yei",4.09,30.67,636020,19990222,88.69,"ARUA",30.91,3.04,"H"
1999,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","East Equatoria","Yei",4.09,30.67,636020,19990222,88.69,"ARUA",30.91,3.04,"H"
1999,"Riots","Protesters (Sudan)","","Sudan","East Equatoria","Juba",4.84,31.61,629410,19990728,88.69,"JUBA",31.6,4.86,"C"
1999,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Bahr el Ghazal","Yirol",6.55,30.5,629410,19990728,88.69,"JUBA",31.6,4.86,"C"
1999,"Battles","SSDF: South Sudan Defense Forces","Unidentified Armed Group (Sudan)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628400,19991023,88.69,"MALKAL",31.64,9.55,"C"
1999,"Battles","SSDF: South Sudan Defense Forces","Unidentified Armed Group (Sudan)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628400,19991023,88.69,"MALKAL",31.64,9.55,"C"
2000,"Battles","NDA: National Democratic Alliance","Matiep Militia","Sudan","Upper Nile","Bol",8.78,33.26,628400,20000912,88.69,"MALKAL",31.64,9.55,"C"
2000,"Battles","NDA: National Democratic Alliance","Matiep Militia","Sudan","Upper Nile","Malakal",9.53,31.65,628400,20000912,88.69,"MALKAL",31.64,9.55,"C"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Matiep Militia","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628400,20000912,88.69,"MALKAL",31.64,9.55,"C"
2000,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Southern Kordofan","Kadugli",11.01,29.71,628100,20001215,88.69,"KADOGLLI",29.71,11,"C"
2001,"Battles","SPLA-Gadet: Sudanese People's Liberation Army-Gadet","Military Forces of Sudan (1989-)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628100,20010126,88.69,"KADOGLLI",29.71,11,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,628800,20010912,88.69,"WAU",28.01,7.69,"C"
2002,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628100,20020614,88.69,"KADOGLLI",29.71,11,"C"
2002,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628100,20020614,88.69,"KADOGLLI",29.71,11,"C"
2002,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Western Darfur","Jabel Marrah",13.16,24.36,627600,20021127,88.69,"EL FASHER",25.33,13.61,"M"
2003,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Darfur","Hagar Suleiman",13.03,21.93,627700,20030721,88.69,"GENINA",22.45,13.48,"M"
2003,"Battles","SLM/A: Sudan Liberation Movement/Army","Military Forces of Sudan (1989-)","Sudan","Darfur","Kebkabiya",13.64,24.08,627600,20031223,88.69,"EL FASHER",25.33,13.61,"M"
2006,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Darfur Wilayat","Sirba",13.8,22.53,627700,20061111,88.69,"GENINA",22.45,13.48,"M"
2007,"Battles","JEM: Justice and Equality Movement","Military Forces of Sudan (1989-)","Sudan","North Darfur","North Darfur",16,26,627600,20071218,88.69,"EL FASHER",25.33,13.61,"M"
2007,"Violence against civilians","UNMIS: United Nations Mission in Sudan","Civilians (Sudan)","Sudan","Darfur","Darfur",13,25,627600,20071218,88.69,"EL FASHER",25.33,13.61,"M"
2008,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Southern Darfur","Suleia",11.01,24.81,627900,20080208,88.69,"NYALA",24.88,12.05,"M"
2008,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Darfur Wilayat","Sirba",13.8,22.53,627700,20080731,88.69,"GENINA",22.45,13.48,"M"
2008,"Violence against civilians","Civilians (Sudan)","Jie Ethnic Militia","Sudan","East Equatoria","Kapoeta",4.77,33.59,629410,20080810,88.69,"JUBA",31.6,4.86,"C"
2008,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Bahr el Ghazal","Rumbek",6.8,29.68,628800,20080811,88.69,"WAU",28.01,7.69,"C"
2008,"Battles","Military Forces of Sudan (1989-)","SLM/A-Nur: Sudan Liberation Movement/Army-Nur Faction","Sudan","Northern Darfur","El Fashir",13.63,25.35,627600,20080826,88.69,"EL FASHER",25.33,13.61,"M"
2008,"Battles","Military Forces of Sudan (1989-)","SLM/A-Nur: Sudan Liberation Movement/Army-Nur Faction","Sudan","Northern Darfur","El Fashir",13.63,25.35,627600,20080826,88.69,"EL FASHER",25.33,13.61,"M"
2008,"Battles","Military Forces of Sudan (1989-)","SLM/A-Nur: Sudan Liberation Movement/Army-Nur Faction","Sudan","North Darfur","North Darfur",16,26,627600,20080826,88.69,"EL FASHER",25.33,13.61,"M"
2008,"Battles","Rizaygat Ethnic Militia","Misseriya Ethnic Militia","Sudan","North Darfur","North Darfur",16,26,627600,20080826,88.69,"EL FASHER",25.33,13.61,"M"
2008,"Battles","Military Forces of Sudan (1989-)","SLM/A: Sudan Liberation Movement/Army","Sudan","North Darfur","Tawila",13.5,24.89,627600,20080826,88.69,"EL FASHER",25.33,13.61,"M"
2008,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Northern Darfur","El Geneina",13.44,22.45,627700,20080831,88.69,"GENINA",22.45,13.48,"M"
2008,"Violence against civilians","Police Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Northern Darfur","El Geneina",13.44,22.45,627700,20080831,88.69,"GENINA",22.45,13.48,"M"
2009,"Battles","Military Forces of Sudan (1989-)","JEM: Justice and Equality Movement","Sudan","Darfur","Darfur",13,25,627600,20090109,88.69,"EL FASHER",25.33,13.61,"M"
2009,"Battles","Nuer Ethnic Group","Dinka Ethnic Group (Sudan)","Sudan","Upper Nile","Meshra` Bentiu",9.23,29.83,628400,20090813,88.69,"MALKAL",31.64,9.55,"C"
2009,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Nuer Ethnic Group (Sudan)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628400,20090813,88.69,"MALKAL",31.64,9.55,"C"
2009,"Battles","Luach Ethnic Group","Awan Ethnic Group","Sudan","West Bahr Al-Ghazal","Tonj",7.27,28.68,628800,20090828,88.69,"WAU",28.01,7.69,"C"
2009,"Battles","Luach Ethnic Group","Awan Ethnic Group","Sudan","West Bahr Al-Ghazal","Tonj",7.27,28.68,628800,20090828,88.69,"WAU",28.01,7.69,"C"
2009,"Battles","Nuer Ethnic Group","Unidentified Armed Group (Sudan)","Sudan","Bahr el Ghazal","Mayom",6.34,29.48,628800,20090828,88.69,"WAU",28.01,7.69,"C"
2009,"Battles","Luach Ethnic Group","Awan Ethnic Group","Sudan","West Bahr Al-Ghazal","Tonj",7.27,28.68,628800,20090828,88.69,"WAU",28.01,7.69,"C"
2009,"Battles","Luach Ethnic Group","Awan Ethnic Group","Sudan","West Bahr Al-Ghazal","Tonj",7.27,28.68,628800,20090828,88.69,"WAU",28.01,7.69,"C"
2009,"Violence against civilians","SPLA/M: Sudanese People's Liberation Army/Movement","Civilians (Sudan)","Sudan","Bahr el Ghazal","Aluk",8.43,27.53,628800,20090828,88.69,"WAU",28.01,7.69,"C"
2009,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Bahr al-Ghazal","Terakeka",8,28,628800,20090828,88.69,"WAU",28.01,7.69,"C"
2009,"Violence against civilians","Luach Ethnic Group","Civilians (Sudan)","Sudan","Bahr el Ghazal","Rumbek",6.8,29.68,628800,20090828,88.69,"WAU",28.01,7.69,"C"
2009,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Equatoria","Gemmeiza",5.68,31.79,629410,20091010,88.69,"JUBA",31.6,4.86,"C"
2009,"Riots","Rioters (Sudan)","","Sudan","Khartoum","Omdurman",15.63,32.43,627210,20091214,88.69,"KHARTOUM",32.54,15.6,"C"
2009,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Khartoum","Khartoum",15.75,32.5,627210,20091214,88.69,"KHARTOUM",32.54,15.6,"C"
2009,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Khartoum","Omdurman",15.63,32.43,627210,20091214,88.69,"KHARTOUM",32.54,15.6,"C"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","SSDF: South Sudan Defense Forces","Sudan","Bahr el Ghazal","Akon",7.4,29.06,646590,19970727,88.9,"OBO",26.5,5.4,"M"
1999,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","East Equatoria","Yei",4.09,30.67,636020,19990126,88.9,"ARUA",30.91,3.04,"H"
2004,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Darfur","Shattay",12.18,23.91,627900,20040209,88.9,"NYALA",24.88,12.05,"M"
2004,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Darfur","Ambara",11.89,23.38,627900,20040209,88.9,"NYALA",24.88,12.05,"M"
2007,"Battles","Military Forces of Sudan (1989-)","JEM: Justice and Equality Movement","Sudan","Darfur","Darfur",13,25,627600,20070903,88.9,"EL FASHER",25.33,13.61,"M"
2009,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","Equatoria","Laso",3.95,30.45,636020,20090106,88.9,"ARUA",30.91,3.04,"H"
2009,"Violence against civilians","Murle Ethnic Militia","Civilians (Sudan)","Sudan","Jonglei","Bor",6.2,31.55,629410,20090430,88.9,"JUBA",31.6,4.86,"C"
2009,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","East Equatoria","Juba",4.84,31.61,629410,20090430,88.9,"JUBA",31.6,4.86,"C"
2009,"Battles","Lou-Nuer Ethnic Militia","Jikany Ethnic Militia","Sudan","Upper Nile","Nasir",8.6,33.06,628400,20090510,88.9,"MALKAL",31.64,9.55,"C"
1998,"Riots","Rioters (Sudan)","Police Forces of Sudan (1989-)","Sudan","Khartoum","Khartoum",15.54,32.53,627210,19981215,89.09,"KHARTOUM",32.54,15.6,"C"
1999,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Unidentified Armed Group (Sudan)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,19990601,89.09,"OBO",26.5,5.4,"M"
1999,"Violence against civilians","SPLA/M: Sudanese People's Liberation Army/Movement","Civilians (Sudan)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,19990601,89.09,"OBO",26.5,5.4,"M"
2000,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Bahr al-Ghazal","Terekeka relief centre",8,28,646590,20001017,89.09,"OBO",26.5,5.4,"M"
2001,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","East Equatoria","Torit",4.41,32.56,629410,20010727,89.09,"JUBA",31.6,4.86,"C"
2001,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Eastern Equatoria","Magwe",4.13,32.28,629410,20010727,89.09,"JUBA",31.6,4.86,"C"
2001,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Eastern Equatoria","Magwe",4.13,32.28,629410,20010727,89.09,"JUBA",31.6,4.86,"C"
2005,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","South Darfur","South Darfur",11,25,628090,20050710,89.09,"BABANUSA",27.81,11.33,"C"
2008,"Battles","Rizaygat Ethnic Militia","Misseriya Ethnic Militia","Sudan","South Darfur","Abu Jabra",11.06,26.85,628090,20080821,89.09,"BABANUSA",27.81,11.33,"C"
2008,"Battles","Unidentified Armed Group (Sudan)","Al-Gamir Ethnic Militia","Sudan","Darfur","Darfur",13,25,627600,20081211,89.09,"EL FASHER",25.33,13.61,"M"
2008,"Battles","Hawazmah Ethnic Militia","Al-Falata Ethnic Militia","Sudan","Darfur","Darfur",13,25,627600,20081211,89.09,"EL FASHER",25.33,13.61,"M"
2009,"Riots","Rioters (Sudan)","","Sudan","Central Equatoria","Yei",4.09,30.67,636020,20090319,89.09,"ARUA",30.91,3.04,"H"
2008,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","North Darfur","North Darfur",16,26,627600,20080228,89.19,"EL FASHER",25.33,13.61,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,19970630,89.4,"OBO",26.5,5.4,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","SSDF: South Sudan Defense Forces","Sudan","Bahr el Ghazal","Wau",7.69,28,646590,19970630,89.4,"OBO",26.5,5.4,"M"
1999,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,19990517,89.4,"OBO",26.5,5.4,"M"
1997,"Riots","Protesters (Sudan)","Police Forces of Sudan (1989-)","Sudan","Khartoum","Khartoum",15.54,32.53,627210,19961224,89.59,"KHARTOUM",32.54,15.6,"C"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ulu",10.71,33.48,628050,19980712,89.59,"DAMAZINE",34.38,11.78,"C"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Southern Kordofan","Abu Jibeiha",11.44,31.23,628030,19981025,89.59,"RASHAD",31.04,11.86,"M"
1999,"Battles","SSDF: South Sudan Defense Forces","Unidentified Armed Group (Sudan)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628100,19991021,89.59,"KADOGLLI",29.71,11,"C"
1999,"Battles","SSDF: South Sudan Defense Forces","Unidentified Armed Group (Sudan)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628100,19991021,89.59,"KADOGLLI",29.71,11,"C"
1999,"Violence against civilians","Gadet Militia","Civilians (Sudan)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628100,19991021,89.59,"KADOGLLI",29.71,11,"C"
2000,"Battles","Arab Ethnic Militia (Sudan)","Fur Ethnic Militia (Sudan)","Sudan","Darfur","Bara",12.89,24.42,627900,20000211,89.59,"NYALA",24.88,12.05,"M"
2000,"Battles","Military Forces of Sudan (1989-)","SPLA/M: Sudanese People's Liberation Army/Movement","Sudan","South Darfur","Buram",10.81,25.16,627600,20000308,89.59,"EL FASHER",25.33,13.61,"M"
2000,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Bahr el Ghazal","Rumbek",6.8,29.68,628400,20000702,89.59,"MALKAL",31.64,9.55,"C"
2000,"Violence against civilians","SPLA/M: Sudanese People's Liberation Army/Movement","Civilians (Sudan)","Sudan","Upper Nile","Sobat river",9.36,31.54,628400,20000726,89.59,"MALKAL",31.64,9.55,"C"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","West Kordofan","West Kordofan",12,28.5,627810,20000829,89.59,"EN NAHUD",28.43,12.69,"M"
2001,"Battles","SPLA-Gadet: Sudanese People's Liberation Army-Gadet","Military Forces of Sudan (1989-)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628400,20010127,89.59,"MALKAL",31.64,9.55,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Southern Kordofan","Kaduqli",11.01,29.71,628100,20010806,89.59,"KADOGLLI",29.71,11,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628400,20010808,89.59,"MALKAL",31.64,9.55,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","South Kordofan","Nuba Mountains",12,30.75,628030,20010820,89.59,"RASHAD",31.04,11.86,"M"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,628800,20010904,89.59,"WAU",28.01,7.69,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Raga",8.46,25.68,628800,20010904,89.59,"WAU",28.01,7.69,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,628800,20010904,89.59,"WAU",28.01,7.69,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,628800,20010904,89.59,"WAU",28.01,7.69,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,628800,20010904,89.59,"WAU",28.01,7.69,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Raga",8.46,25.68,628800,20010904,89.59,"WAU",28.01,7.69,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Raga",8.46,25.68,628800,20010904,89.59,"WAU",28.01,7.69,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Raga",8.46,25.68,628800,20010904,89.59,"WAU",28.01,7.69,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Upper Nile","Bahr el Jebel river",9.5,30.5,628400,20010909,89.59,"MALKAL",31.64,9.55,"C"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","South Kordofan","Nuba Mountains",12,30.75,628030,20011122,89.59,"RASHAD",31.04,11.86,"M"
2002,"Violence against civilians","Civilians (Sudan)","SPLA/M: Sudanese People's Liberation Army/Movement","Sudan","East Equatoria","Kapoeta",4.77,33.59,636120,20020615,89.59,"LODWAR",35.61,3.11,"C"
2003,"Battles","SLM/A: Sudan Liberation Movement/Army","Military Forces of Sudan (1989-)","Sudan","Darfur","Jabal Tinah",14.83,23.85,627700,20030714,89.59,"GENINA",22.45,13.48,"M"
2003,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Darfur","Jabal Tinah",14.83,23.85,627700,20030714,89.59,"GENINA",22.45,13.48,"M"
2003,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Darfur","Ahmad",11.61,26.96,628090,20030722,89.59,"BABANUSA",27.81,11.33,"C"
2003,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","North Darfur","Shaqq `Abd az `Aziz",11.89,26.53,628090,20030722,89.59,"BABANUSA",27.81,11.33,"C"
2003,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Darfur","Tha",11.69,26.89,628090,20030722,89.59,"BABANUSA",27.81,11.33,"C"
2003,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Darfur","Rajaj",10.91,24.71,627900,20030723,89.59,"NYALA",24.88,12.05,"M"
2004,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Northern Darfur","Tinah",13.46,24.76,627900,20040124,89.59,"NYALA",24.88,12.05,"M"
